round_epochs,loss,auc,val_loss,val_auc,first_neuron,second_neuron,third_neuron,fourth_neuron,fifth_neuron,activation,last_activation,batch_size,epochs,dropout,lr,early_stopping
22,0.0834522470831871,0.9957222938537598,2.9095709323883057,0.706849992275238,500,1000,250,500,500,elu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,0.6957384943962097,0.5007474422454834,0.6942426562309265,0.5,500,1000,500,100,100,relu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
18,0.5201551914215088,0.7734436988830566,0.8434703350067139,0.6155999898910522,1000,500,500,100,250,relu,sigmoid,32,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
13,0.6836235523223877,0.6101688146591187,0.6880329847335815,0.646049976348877,500,1000,250,500,500,relu,sigmoid,32,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
17,0.009315569885075092,0.9999591112136841,4.19561243057251,0.6686500906944275,1000,500,250,500,500,relu,sigmoid,16,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
18,0.06064901500940323,0.9968624711036682,2.264887571334839,0.6949499845504761,500,1000,250,500,500,elu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,0.06973195821046829,0.9971482157707214,2.238349199295044,0.6917000412940979,500,500,500,250,250,elu,sigmoid,64,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
23,0.18518702685832977,0.9839794039726257,417904394240.0,0.6632999181747437,500,1000,250,100,250,relu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
13,0.6931530237197876,0.5135143399238586,0.6931579113006592,0.5,1000,1000,500,100,500,relu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,985079.25,0.5082379579544067,0.7961368560791016,0.5,1000,500,250,100,100,elu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.7058396935462952,0.501564085483551,0.6931482553482056,0.5,500,500,500,100,250,relu,sigmoid,32,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.7155116200447083,0.5289068222045898,0.7346006035804749,0.5,1000,1000,250,250,100,elu,sigmoid,32,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
17,0.7015616297721863,0.5690259337425232,0.9050713181495667,0.5508500337600708,1000,500,500,100,250,elu,sigmoid,16,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,663.5270385742188,0.48061883449554443,0.6963815093040466,0.5,1000,500,250,100,250,relu,sigmoid,32,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
17,0.04447518289089203,0.996758759021759,82135883776.0,0.6319999098777771,1000,1000,500,500,500,relu,sigmoid,16,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,0.7073806524276733,0.4808638095855713,0.6931594610214233,0.5,500,1000,500,250,100,relu,sigmoid,16,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,1.561671257019043,0.5014918446540833,0.6985803246498108,0.5,1000,1000,250,500,250,elu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,51347.09765625,0.45576345920562744,0.6976044178009033,0.5,1000,1000,250,500,500,relu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.6933621764183044,0.4911087155342102,0.6931501030921936,0.5,1000,1000,250,250,250,relu,sigmoid,16,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
27,0.7423409819602966,0.47786134481430054,0.7313226461410522,0.5049999952316284,500,1000,500,250,250,elu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
13,0.7207860946655273,0.5355808138847351,0.7445893883705139,0.5,500,1000,250,500,250,elu,sigmoid,64,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,19.106046676635742,0.48016658425331116,12.969257354736328,0.5,1000,1000,250,100,500,elu,sigmoid,16,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,1.1651594638824463,0.47989335656166077,0.6935839056968689,0.5,500,500,500,250,100,elu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
17,0.617516279220581,0.7069867849349976,0.7125312089920044,0.5501499772071838,1000,1000,250,250,500,relu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.7088796496391296,0.481809139251709,0.6973432302474976,0.5,500,1000,250,250,100,elu,sigmoid,16,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,1300.5943603515625,0.505430281162262,0.7043317556381226,0.5,1000,1000,500,100,100,relu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
17,0.1344427615404129,0.9898022413253784,2.4408905506134033,0.6634499430656433,1000,1000,250,500,100,elu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,512.5653686523438,0.49432480335235596,0.6942928433418274,0.5,1000,500,250,500,250,relu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
13,0.05995015799999237,0.9966049194335938,96131547136.0,0.6434999704360962,500,500,250,250,100,relu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.6956522464752197,0.49354904890060425,0.6942217946052551,0.5,500,500,500,100,250,relu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,1.0120432376861572,0.48581352829933167,0.6933345198631287,0.5,500,1000,500,250,100,elu,sigmoid,16,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,59.47508239746094,0.5,2467.647705078125,0.4950000047683716,1000,1000,250,250,500,elu,sigmoid,64,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,0.08487392961978912,0.9928267002105713,58450268160.0,0.6955001354217529,1000,1000,250,500,500,relu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
16,0.7365014553070068,0.5391015410423279,0.7057487964630127,0.5,1000,1000,500,500,500,relu,sigmoid,32,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
28,0.10749159753322601,0.9892148971557617,1351307904.0,0.6253999471664429,1000,1000,250,500,100,elu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
17,0.06719610840082169,0.9957820773124695,78110498816.0,0.6659499406814575,500,500,250,250,500,elu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
13,0.7162788510322571,0.6331115961074829,0.661459743976593,0.6470000147819519,1000,1000,250,250,500,elu,sigmoid,16,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,0.6903212070465088,0.4693092405796051,0.6932830810546875,0.5,500,500,250,250,500,relu,sigmoid,16,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.6961092352867126,0.4839322566986084,1.142148494720459,0.4950000047683716,500,1000,250,250,100,relu,sigmoid,16,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,4.449563026428223,0.5021387934684753,3.877906560897827,0.5,1000,500,500,500,500,elu,sigmoid,64,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,0.10645885765552521,0.9928643703460693,2.2037441730499268,0.7225499749183655,500,1000,250,250,100,elu,sigmoid,16,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
17,11287.125,0.47815969586372375,10.704877853393555,0.5,500,500,250,100,500,elu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
25,0.05478895455598831,0.9983009099960327,65890902016.0,0.6571000218391418,500,500,250,500,500,elu,sigmoid,32,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,11.875903129577637,0.5167461633682251,0.6941259503364563,0.5,500,1000,500,100,250,elu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
14,0.6936243176460266,0.49145108461380005,0.6932657361030579,0.5,1000,500,250,500,500,relu,sigmoid,16,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
14,0.014874480664730072,0.999890148639679,2.8133280277252197,0.6720499396324158,500,500,500,250,100,relu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
20,0.05100630223751068,0.996337890625,2.4535303115844727,0.6914499998092651,500,1000,250,250,100,elu,sigmoid,64,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
21,0.6944530606269836,0.48340147733688354,0.693579912185669,0.5,500,1000,500,500,250,relu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,1.933871865272522,0.5121135711669922,1.4295763969421387,0.5,500,500,250,500,100,elu,sigmoid,64,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.6368785500526428,0.6553444862365723,1.0459966659545898,0.5802499651908875,500,1000,500,100,500,elu,sigmoid,64,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
26,0.02755620703101158,0.9984013438224792,3.0086724758148193,0.6883499026298523,1000,1000,500,250,500,elu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
13,526.2623901367188,0.49943777918815613,9.313057899475098,0.5,1000,1000,250,250,500,elu,sigmoid,32,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.979333221912384,0.48705410957336426,0.6931471824645996,0.5,1000,1000,250,250,100,elu,sigmoid,16,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
26,0.00011836391786346212,1.0,7.58708381652832,0.6785500049591064,500,1000,500,100,250,relu,sigmoid,32,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
13,0.12715435028076172,0.989940345287323,2.318013906478882,0.6642000675201416,500,1000,500,250,250,elu,sigmoid,16,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
15,0.8357413411140442,0.4774184823036194,0.696241557598114,0.5,500,500,250,250,500,elu,sigmoid,16,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,34.00281524658203,0.4987468719482422,23.455345153808594,0.5,500,500,250,250,500,elu,sigmoid,32,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
14,147.85621643066406,0.4912280738353729,0.6952876448631287,0.5,1000,500,500,100,500,relu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
18,0.02937454730272293,0.9984295964241028,451913515008.0,0.6976500153541565,500,500,500,500,500,relu,sigmoid,64,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
18,0.005589439533650875,0.9999780058860779,246126166016.0,0.6703999638557434,500,500,500,100,500,relu,sigmoid,64,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,2447.260009765625,0.44098028540611267,0.6931604146957397,0.5,1000,500,250,500,100,relu,sigmoid,16,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,27.852806091308594,0.5150815844535828,1.0586256980895996,0.5,500,1000,250,250,100,elu,sigmoid,16,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
20,0.0003452976525295526,1.0,4.270323753356934,0.6930000185966492,1000,1000,500,100,100,relu,sigmoid,32,50,0.2,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
20,9.100251918425784e-05,1.0,6.671036243438721,0.654949963092804,500,500,500,500,500,relu,sigmoid,16,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
18,0.17921312153339386,0.9835741519927979,1.867355227470398,0.6860999464988708,1000,500,500,250,100,elu,sigmoid,16,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.22581590712070465,0.9713287353515625,1.6828265190124512,0.6964499950408936,1000,1000,500,250,250,elu,sigmoid,64,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,44.374969482421875,0.518548846244812,0.9497516751289368,0.5,500,500,250,100,100,elu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
17,0.038352884352207184,0.9971984624862671,4.813408851623535,0.6883999109268188,500,500,250,500,250,relu,sigmoid,64,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
16,0.7428138852119446,0.49533289670944214,0.6946914792060852,0.5,1000,500,250,250,250,elu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
26,0.00016889115795493126,0.9999999403953552,10.129671096801758,0.673799991607666,1000,1000,250,500,500,relu,sigmoid,16,50,0.3,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,189031.015625,0.4902482032775879,0.6936637759208679,0.5,500,1000,250,100,250,relu,sigmoid,16,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.6957184672355652,0.47278597950935364,0.6939005851745605,0.5,500,1000,250,100,500,relu,sigmoid,16,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
22,0.4812231659889221,0.9254998564720154,62533296128.0,0.618649959564209,1000,500,250,100,500,elu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.8153441548347473,0.4791867136955261,0.6931620240211487,0.5,1000,1000,250,500,250,relu,sigmoid,64,50,0.2,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,1.4630870819091797,0.5224307179450989,0.740520179271698,0.5,1000,1000,500,250,100,elu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
23,0.731289803981781,0.4623400568962097,0.6937953233718872,0.5,1000,1000,500,500,250,elu,sigmoid,32,50,0.4,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,0.714902400970459,0.4865138828754425,0.701276957988739,0.5,500,1000,500,500,100,elu,sigmoid,32,50,0.2,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
11,39.58638000488281,0.5025062561035156,39.28281784057617,0.5,500,1000,250,500,500,elu,sigmoid,64,50,0.4,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,0.6935362219810486,0.4734863340854645,0.6931815147399902,0.5,1000,1000,500,100,250,relu,sigmoid,16,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
16,0.19846998155117035,0.9916112422943115,0.9001017212867737,0.7120000123977661,1000,1000,500,100,250,relu,sigmoid,16,50,0.4,0.001,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
20,0.07922462373971939,0.9944379329681396,14911041536.0,0.6486499905586243,500,1000,250,100,500,elu,sigmoid,64,50,0.3,0.01,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
12,2.243713617324829,0.5177668333053589,1.7984768152236938,0.5,500,500,250,500,100,elu,sigmoid,64,50,0.3,0.1,<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f7298383b70>
