analyte_name,armss_coeff,pvalue,CI,model_converged_flag,analyte_type,selection_flag
hippurate,-2.235835582,0.007519967,"(-3.8753150028443613, -0.5963561612194277)",TRUE,untargeted,FALSE
fumarate,-0.51754954,0.008045129,"(-0.9003093179113877, -0.13478976163160733)",TRUE,untargeted,TRUE
salicylate,-0.716046024,0.008824179,"(-1.2519513328141383, -0.18014071553732824)",TRUE,untargeted,FALSE
1-stearoyl-GPG (18:0),-0.790586417,0.009188791,"(-1.3854237231429434, -0.1957491114197354)",TRUE,untargeted,TRUE
N-acetylmethionine sulfoxide,-0.576961445,0.009467563,"(-1.0127833110429827, -0.14113957969734253)",TRUE,untargeted,TRUE
choline,-0.56266738,0.009473172,"(-0.9877252320840256, -0.13760952822523442)",TRUE,untargeted,TRUE
theobromine,-0.856156898,0.009558122,"(-1.5036929028283237, -0.20862089394228767)",TRUE,untargeted,FALSE
glycerophosphoethanolamine,-0.516789167,0.01004562,"(-0.910257627722938, -0.12332070559468938)",TRUE,untargeted,TRUE
alpha-ketoglutarate,-0.480510402,0.010112638,"(-0.8466845796781973, -0.11433622335209692)",TRUE,untargeted,TRUE
paraxanthine,-0.797879045,0.010340534,"(-1.4077365461237408, -0.18802154394549353)",TRUE,untargeted,FALSE
N-palmitoyltaurine,-0.906967301,0.010524095,"(-1.601862756686582, -0.21207184601273343)",TRUE,untargeted,TRUE
taurocholenate sulfate*,-1.158099242,0.011102722,"(-2.051928091942913, -0.264270391198723)",TRUE,untargeted,TRUE
N-acetylmethionine,-0.773359538,0.011888289,"(-1.37594000743072, -0.17077906888144734)",TRUE,untargeted,TRUE
imidazole lactate,-0.514615453,0.012262708,"(-0.9173427958041427, -0.1118881096767485)",TRUE,untargeted,TRUE
taurolithocholate 3-sulfate,-0.838515802,0.012323378,"(-1.4951787020429506, -0.1818529010421316)",TRUE,untargeted,TRUE
gamma-glutamylalanine,-0.633476132,0.012957403,"(-1.133122580316215, -0.13382968405202506)",TRUE,untargeted,TRUE
2-hydroxy-3-methylvalerate,-1.451365494,0.012974395,"(-2.5963270116093113, -0.306403975936161)",TRUE,untargeted,TRUE
stachydrine,-1.010813697,0.013358493,"(-1.8115838703788043, -0.21004352384572644)",TRUE,untargeted,TRUE
gamma-glutamylleucine,-0.577252293,0.013963091,"(-1.0375030480695009, -0.11700153884555015)",TRUE,untargeted,TRUE
N-acetylalanine,-0.438005031,0.014317764,"(-0.7885184090767803, -0.08749165302097384)",TRUE,untargeted,TRUE
